county,pollution_07,pollution_09,pollution_10,pollution_11,pollution_12,pollution_13,pollution_14,pollution_15,pollution_16
ALLEGANY,41694150.87392699,40255989.68844401,40907997.44915342,40057939.98925799,40875964.98093526,39052634.527183086,38277443.04667989,38145284.61572985,35796411.65985577
ANNE ARUNDEL,42640533.59638427,39258372.170375496,37961444.422950335,36406067.13238896,36926144.434421934,36920436.14422791,38117467.3710293,36968182.698330864,35974130.01106024
BALTIMORE,100039452.38349082,90581257.61518423,86329883.1570432,81807381.68670091,85237633.19904429,77292894.1027398,83432956.07895641,80681894.05224982,78235595.7986363
BALTIMORE CITY,44629266.38106591,41621928.23956237,45754701.41055,43863013.0183986,43532380.98423226,40199598.354065344,41188034.743543044,41020326.4113307,40791001.52912449
CALVERT,26186313.81957674,22233037.432719983,19359646.083420455,15284624.009003915,13854534.72731089,12028120.971659016,28405823.859393377,29390658.072691828,29722654.46502493
CAROLINE,21647090.893173236,20093871.12455771,21514297.79409246,19778462.271818005,19878256.145147044,19027155.65271241,19895080.393781215,22051790.239086863,22159177.84314787
CARROLL,69231870.41652496,63553600.11326015,59059059.10585344,58367231.9195565,58696283.04277722,54709989.95927489,47303847.60754026,44162729.388796605,43839053.87614879
CECIL,74434477.8708701,66657664.255318,67768558.72048333,61950799.58405401,60002121.30589809,57945529.09785777,55738028.09809491,67561897.222248,72547713.63678126
CHARLES,50493292.07169276,44697890.016931765,46204217.4780163,41735103.500294,43854977.12190083,39338449.56911189,41870632.640925065,37036981.343309656,37970963.69462125
DORCHESTER,22671819.01902292,21183783.4901273,21987512.07378887,21673281.430972684,21439469.563744865,20041748.290898334,17494315.392609496,18617281.708766498,18751654.419723887
FREDERICK,246377161.62000978,229657115.04531154,219741445.00921836,205911034.81337747,230495135.3083001,202506850.25164613,180049606.93054914,168483381.58884344,151357092.12177724
GARRETT,8423496.68131841,8247078.856287389,8355405.485539873,8184903.690857912,8176676.389397379,8240410.181511775,7826112.000315497,7528540.262170054,8318294.489088589
HARFORD,121671378.32673478,110513325.52192535,111659643.27440108,113449460.90060039,109973734.09905502,100847768.62905046,92000276.21011987,89432585.68443865,81103750.7961834
HOWARD,65951894.14731309,60705755.194698304,59449385.94207452,57788678.6488236,58007419.99815499,54320976.139931194,64177558.05830415,53452276.37687158,53745164.822730154
KENT,45270904.57131401,41956780.04425836,43979747.33206843,38413270.42417498,36109727.22445849,34950423.64739885,38759831.37416438,39049338.174883,35616971.76312297
MONTGOMERY,130578793.33493608,121036525.98435408,133422963.83420967,133958511.75539482,135563540.84975582,114385030.15528488,126766883.26076925,121246804.92743199,107460069.53866121
PRINCE GEORGES,137822045.21649653,117010560.02137458,102743582.40805219,97549001.37042326,97389453.44384095,88693863.11117487,106896978.18549132,86814317.28785755,80538335.89829385
QUEEN ANNES,42190037.407399066,36757014.091071784,35803153.64412282,37657828.72356641,36788443.9477385,33126301.123503305,36731409.97424731,33507904.884311326,35325551.652818434
SOMERSET,10476573.694315325,9108316.60470787,9222561.596892394,8639660.621567149,8964448.014836451,8712247.210073253,8958779.528037576,9022628.49555491,8763772.63362598
ST MARYS,54558397.76141202,49680841.89831601,51574203.131424814,49460579.56569926,52537642.41907751,46419174.23125728,50399253.05798842,44842886.818818584,44497768.15941592
TALBOT,18889501.6280856,16722715.976093551,16782464.052641653,16733802.250233877,16586017.94798699,15773746.226819895,16660129.962914318,16700851.313084075,15869388.179690968
WASHINGTON,181948160.8876505,172847477.75472948,165567718.2502826,170285390.84027815,185722425.47431508,175460514.61921018,187882112.77120477,188576676.50700182,185353396.30623183
WICOMICO,16519361.623504013,13710750.698082484,14759202.575648686,14969741.321224187,14856354.225951575,13632039.877899246,14442750.541213805,14908937.69228269,13234708.825728638
WORCESTER,11662814.104860967,9917094.150932148,11210124.919334814,10249572.091186002,9855181.285597442,9033214.56720107,7437944.936284455,7840956.589910321,8489688.025707364
