"",,,Females bigger,,,,
"",,,than 2.4 inches,,,,
Year,Mature Females,,(immature and mature),Males bigger than 2.4 inches,,,Males bigger than 5 inches
"",,,Females that will spawn,,,,
"",,,this year,,,,
1990,9.01,,14.73,20.09,,,8.84
1991,18.59,,24.43,24.67,,,12.14
1992,15.52,,18.26,9.18,,,4.86
1993,6.21,,18.86,18.19,,,6.21
1994,9.28,,12.09,10.52,,,4.56
1995,4.36,,8.62,11.10,,,4.01
1996,10.07,,13.76,10.92,,,5.30
1997,7.48,,10.23,7.36,,,3.40
1998,8.27,,11.25,8.29,,,3.89
1999,4.73,,5.94,3.22,,,2.01
2000,10.71,,12.18,4.41,,,2.11
2001,4.24,,6.20,4.58,,,1.93
2002,4.40,,5.87,6.67,,,3.82
2003,7.69,,11.04,10.87,,,4.90
2004,8.18,,9.88,4.80,,,2.30
2005,9.94,,11.77,4.88,,,2.58
2006,8.23,,9.05,3.62,,,2.17
2007,8.11,,9.89,5.58,,,2.74
2008,7.59,,9.33,3.90,,,1.68
2009,16.83,,18.00,6.39,,,3.76
2010,25.75,,28.21,8.16,,,4.47
2011,20.57,,22.10,8.12,,,4.84
2012,7.87,,9.93,8.74,,,4.52
2013,14.64,,15.45,5.02,,,3.16
2014,6.74,,7.57,3.46,,,2.07
2015,10.47,,12.73,6.19,,,2.51
2016,18.63,,20.32,9.33,,,5.40
2017,24.64,,26.20,7.90,,,4.71
2018,15.21,,16.71,6.53,,,3.88
2019,17.61,,19.83,8.81,,,5.24
2020,12.75,,14.45,8.08,,,3.86
2021,15.58,,16.49,4.29,,,2.72
2022,9.82,,10.58,3.04,,,2.00
