"",,All crabs,All crabs
Year,All crabs,smaller than,bigger than
"",,2.4 inches,2.4 inches
1990,82.16,47.34,34.82
1991,85.53,36.43,49.11
1992,38.14,10.69,27.44
1993,88.32,51.27,37.05
1994,53.55,30.94,22.61
1995,50.43,30.71,19.72
1996,76.50,51.82,24.68
1997,69.76,52.16,17.59
1998,36.42,16.87,19.54
1999,31.93,22.76,9.17
2000,30.49,13.90,16.59
2001,26.64,15.86,10.76
2002,32.35,19.81,12.54
2003,39.80,17.88,21.91
2004,29.27,14.58,14.68
2005,41.55,24.89,16.66
2006,32.56,19.98,12.68
2007,26.88,11.41,15.47
2008,30.14,16.90,13.24
2009,41.90,17.51,24.39
2010,72.92,36.55,36.38
2011,51.25,21.03,30.22
2012,79.20,59.53,18.68
2013,31.80,11.32,20.47
2014,31.47,20.43,11.03
2015,49.62,30.72,18.90
2016,57.49,27.79,29.70
2017,46.88,12.77,34.11
2018,40.45,17.22,23.24
2019,61.68,33.04,28.64
2020,41.39,18.86,22.53
2021,29.52,8.74,20.78
2022,23.94,10.33,13.61
