tributary_basin,count_1985,count_2007,count_2009,count_2010,count_2011,count_2012,count_2013,count_2014,count_2015,count_2016
Choptank,4788329.155443063,4102127.466572974,3726700.062764978,3724568.48965148,3613864.392174395,3594294.921980815,3385640.562838867,3835907.609156068,3759152.9430625075,3776833.0870573944
Lower Eastern Shore,9002517.764149187,7351447.054663657,6248254.35751766,6889069.676951792,6159410.641295974,6551397.584160542,5999795.677895364,6440639.573488835,6295591.85253593,6158887.79425735
Lower Potomac,2523795.882267511,2133157.855778924,1992226.560374384,2099885.871044683,2005131.212040115,2015494.459075269,1821949.438359135,2015860.676715194,1984424.3389634993,1878215.1948004495
Lower Western Shore,1845011.110091957,1611952.898170883,1572707.317885294,1515063.580441228,1566503.5886784429,1554130.076105696,1554329.146568706,1632037.224340708,1545823.1465276368,1404878.9850561768
Middle Potomac,11815315.50114947,6049321.004436835,5996971.343975554,5822782.951192587,5249910.038744186,5048464.786223011,4739808.494455918,5090329.483400739,4492855.253000334,4546749.49074599
Patapsco/Back,20994456.47064861,9380330.378378887,8690910.47370937,9240237.97003994,8723144.002007455,8559735.481004788,8830369.382907977,9216743.912163638,9069703.089807788,9429614.6901702
Patuxent,4524393.99754315,3319472.295635294,3402343.613945875,3269821.25687451,3199810.820001877,3108479.695492232,3034128.257907794,3127642.820464567,3004221.67884189,2997358.30513264
Upper Eastern Shore,6644608.970034375,6161145.183761616,5546652.522885001,5514661.160221813,5381939.119765491,5276920.927684656,4844234.307243296,5037380.376530096,4904969.473184079,4938149.114176489
Upper Potomac,12887170.80728787,10169702.341884928,9738068.609717235,9645359.506912762,9392394.931713728,9322014.425345303,8871478.14248863,8934215.801564798,8638167.204737138,8605217.665529642
Upper Western Shore,5738390.736636516,4489240.758070379,4296085.476581504,4324163.908351982,4229981.125537769,4163055.597597572,3866767.102775897,3731390.328244123,3542552.4818991655,3497603.2171270237
